STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,750gram,Xi trắng,7,Dây,12c778,12c66,+1,+6p18,,640,,,,,
2,750gram,Xi trắng,10,Mặt,5c056,5c002,-3,-7p24,,250,,,,,
3,750gram,Xi trắng,15,Nhẫn,15c72,15c476,,,,375,,,,,
4,750gram,Xi trắng,2,Vòng,7c266,7c196,,,,270,,,,,
5,750gram,Xi trắng,16,Bông,9c206,9c12,,,,400,,,,,
6,750gram,Xi trắng,4,Lắc,4c464,4c406,,,,240,,,,,
7,416,Xi trắng,11,Dây,15c242,15c016,-1,-6p18,,970,,,,,
8,416,Xi trắng,21,Bông,10c646,10c578,,,,500,,,,-5li2 + 8li,thay đít bông
9,416,Xi trắng,30,Nhẫn,35c144,34c71,,,,925,,,,,
10,416,Xi trắng,8,Lắc,18c516,18c334,,,,860,,,,,
11,416,Xi trắng,1,Simen,4c592,4c426,,,,250,,,,,
12,416,Xi trắng,15,Mặt,8c192,8c09,+3,+7p24,,375,,,,,
13,610,Xi 2-3 màu,1,Nhẫn,2c756,2c736,,,,50,,,,,
14,610,Xi 2-3 màu,1,Dây,1c796,1c792,,,,150,,,,,
15,610,Xi 2-3 màu,1,Lắc,1c756,1c736,,,,180,,,,,
16,416,Xi 2-3 màu,1,Mặt,5p28,5p12,,,,50,,,,,
