STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,610,Xi 2-3 màu,1,Bông,5p06,5p06,,,,80,,,,,
2,610,Xi 2-3 màu,1,Dây,5c77,5c752,,,,350,,,,,
3,610,Xi 2-3 màu,1,Vòng,2c498,2c496,,,,250,,,,,
4,416,Xi trắng,33,Nhẫn,32c788,32c6,,,,950,,,,,
5,416,Xi trắng,2,Vòng,3c632,3c642,,,,250,,,,,
6,416,Xi trắng,17,Bông,8c19,8c09,,,,425,-1,-3p76,lủng,,
7,416,Xi trắng,17,Mặt,5c724,5c644,,,,425,-1,-3p18,gãy chấu,,
8,416,Xi trắng,10,Lắc,11c884,11c72,,,,750,-1,-5p12,gãy,,
9,416,Xi trắng,12,Dây,16c118,15c89,,,,910,,,,,
10,750gram,Xi trắng,6,Dây,8c896,8c83,,,,450,,,,,
11,750gram,Xi trắng,8,Nhẫn,12c06,11c93,,,,250,,,,,
12,750gram,Xi trắng,11,Bông,5c054,4c99,,,,275,,,,,
13,750gram,Xi trắng,6,Mặt,3c184,3c178,,,,150,,,,,
14,750gram,Xi trắng,5,Lắc,7c97,7c908,,,,380,,,,,
