STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,610,Xi trắng,1,Dây,1c994,1c99,,,,,,,,,
2,610,Xi 2-3 màu,3,Dây,14c228,14c212,,,,,,,,,
3,610,Xi 2-3 màu,1,Mặt,1c154,1c15,,,,,,,,,
4,610,Xi 2-3 màu,1,Bông,9p28,9p16,,,,,,,,,
5,610,Xi 2-3 màu,4,Nhẫn,6c094,6c074,,,,,,,,,
6,610,Xi 2-3 màu,8,Lắc,36c87,36c756,,,,,,,,,
7,Ý,Xi trắng,10,Dây,24c46,24c124,,,,,,,,,
8,Ý,Xi trắng,3,Vòng,10c738,10c686,,,,,,,,,
9,Ý,Xi trắng,12,Mặt,5c114,5c082,,,,,,,,,
10,Ý,Xi trắng,8,Lắc,11c14,11c074,,,,,,,,,
11,Ý,Xi trắng,33,Bông,22c154,21c978,+1,+ 6p2,1 bông ý lộn qua 416,,,,,- 0g34 + 0g7,thay đít bông
12,Ý,Xi trắng,22,Nhẫn,32c972,32c694,,,,,-1,- 5g43 ,hư chấu,,
13,416,Xi trắng,52,Nhẫn,51c42,51c02,,,,,-4,-3c906,lỗi,,
14,416,Xi trắng,3,Vòng,8c558,8c518,,,,,,,,,
15,416,Xi trắng,7,Lắc,7c392,7c36,,,,,,,,,
16,416,Xi trắng,14,Mặt,4c902,4c866,,,,,-1,-2p92,,,
17,416,Xi trắng,17,Dây,27c842,27c726,,,,,,,,,
18,416,Xi trắng,22,Bông,10c098,10c018,-1,- 6p2,1 bông ý lộn qua 416,,,,,,
