STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,9,Vòng,20c124,19c86,,,,1200,,,,,
2,416,Xi trắng,17,Lắc,19c722,19c572,,,,1450,,,,,
3,416,Xi trắng,64,Nhẫn,56c942,56c08,,,,2100,,,,,
4,416,Xi trắng,36,Bông,16c034,15c916,,,,1080,-1,-3p86,gãy chấu,,
5,416,Xi trắng,26,Mặt,7c764,7c706,,,,650,-1,-2p52,gãy chấu,,
6,416,Xi trắng,17,Dây,18c494,18c276,,,,1430,,,,,
7,750gram,Xi trắng,12,Dây,13c83,13c78,,,,920,,,,,
8,750gram,Xi trắng,3,Lắc,3c76,3c716,,,,240,,,,,
9,750gram,Xi trắng,18,Nhẫn,21c524,21c082,,,,475,-1,-1c764,gãy chấu,,
10,750gram,Xi trắng,6,Mặt,3c084,3c054,,,,150,,,,,
11,750gram,Xi trắng,19,Bông,10c692,10c608,,,,475,-1,-4p84,gãy chấu,,
12,750,Xi trắng,6,Nhẫn cưới xoàn,5c624,5c464,,,,150,,,,,
13,610,Xi 2-3 màu,1,Dây,2c298,2c284,,,,200,,,,,
14,610,Xi 2-3 màu,1,Lắc,1c096,1c088,,,,180,,,,,
