STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,14,Vòng,23c79,23c52,,,,1870,-1.0,-1c748,gãy,,
2,416,Xi trắng,73,Nhẫn,58c38,57c692,,,,4070,-1.0,-7p8,gãy chấu,,
3,416,Xi trắng,80,Bông,36c202,36c026,,,,3900,-1.0,-4p46,"nứt, gãy",,
4,416,Xi trắng,35,Mặt,12c608,12c554,,,,1300,,,,,
5,416,Xi trắng,37,Dây,44c338,44c234,,-2li8,thay khóa,5750,,,,+3li,thay khóa
6,416,Xi trắng,29,Lắc,40c904,40c716,,,,4020,,,,,
