STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,6,Vòng,13c578,13c382,,,,750,,,,,
2,416,Xi trắng,19,Lắc,23c752,23c428,,,,1590,,,,,
3,416,Xi trắng,28,Dây,41c128,40c878,,,,2520,-1,-1c984,đứt gãy,,
4,416,Xi trắng,58,Nhẫn,53c3,52c604,,,,1525,-3,-4c168,gãy chấu,,
5,416,Xi trắng,17,Bông,8c944,8c838,,,,425,,,,,
6,416,Xi trắng,28,Mặt,9c198,9c106,,,,700,,,,,
7,750gram,Xi trắng,4,Lắc,16c132,16c034,,,,560,,,,,
8,750gram,Xi trắng,1,Vòng,2c27,2c248,,,,150,,,,,
9,750gram,Xi trắng,15,Nhẫn,14c866,14c7,,,,375,,,,,
10,750gram,Xi trắng,25,Bông,14c154,14c018,,,,625,-1,-8p1,rớt hột,,
11,750gram,Xi trắng,12,Mặt,5c604,5c548,,,,300,,,,,
12,750gram,Xi trắng,14,Dây,22c548,22c418,,,,1100,,,,,
13,610,Xi 2-3 màu,2,Vòng,4c286,4c282,,,,300,,,,,
14,610,Xi 2-3 màu,1,Nhẫn,2c688,2c674,,,,80,,,,,
15,610,Xi 2-3 màu,4,Lắc,4c898,4c862,,,,600,,,,,
16,750gram,Xi hồng,1,Nhẫn,1c518,1c514,,,,20,,,,,
