STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,29,Dây,44c208,43c906,,,,3000,,,,,
2,416,Xi trắng,66,Lắc,88c976,88c082,,,,5100,,,,,
3,416,Xi trắng,7,Vòng,11c078,10c9,,,,740,,,,,
4,416,Xi trắng,25,Bông,12c156,11c982,,,,625,,,,,
5,416,Xi trắng,19,Mặt,5c526,5c448,,,,380,,,,,
6,416,Xi trắng,49,Nhẫn,48c824,47c846,,,,1375,-3,-2c396,gãy chấu,,
7,750gram,Xi trắng,2,Vòng,8c94,8c83,,,,320,,,,,
8,750gram,Xi trắng,7,Mặt,2c364,2c334,,,,175,,,,,
9,750gram,Xi trắng,8,Lắc,13c714,13c592,,,,620,,,,,
10,750gram,Xi trắng,15,Nhẫn,18c31,18c12,,,,425,,,,,
11,750gram,Xi trắng,15,Bông,9c67,9c558,,,,375,,,,,
12,750gram,Xi trắng,30,Dây,51c93,51c496,,,,2520,,,,,
13,610,Xi 2-3 màu,1,Vòng,2c176,2c158,,,,750,,,,,
14,610,Xi 2-3 màu,5,Lắc,7c21,7c176,,,,150,,,,,
