STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,Ý,Xi trắng,31,Dây,50c658,50c15,,,,2460,,,,,
2,Ý,Xi trắng,42,Nhẫn,49c32,47c618,,,,1050,,,,,
3,Ý,Xi trắng,13,Lắc,32c67,32c144,,,,1170,,,,,
4,Ý,Xi trắng,23,Mặt,13c16,13c01,,,,575,,,,,
5,Ý,Xi trắng,37,Bông,21c276,22c,,,,925,,,,,
6,Ý,Xi trắng,2,Vòng,6c75,6c678,,,,260,,,,,
7,416,Xi trắng,93,Nhẫn,92c42,91c244,,,,2650,-2.0,-1c096,gãy chấu,,
8,416,Xi trắng,8,Vòng,15c388,15c148,,,,800,,,,,
9,416,Xi trắng,26,Lắc,33c09,32c626,,,,1950,-2.0,-3c066,"gãy vàng, hư hột",,
10,416,Xi trắng,30,Mặt,12c872,12c798,,,,750,,,,,
11,416,Xi trắng,47,Bông,24c138,23c92,,,,1175,-1.0,-5p86,gãy chấu,,
12,416,Xi trắng,28,Dây,53c408,53c046,,,,2720,,,,,
13,610,Xi 2-3 màu,4,Dây,11c628,11c62,,,,440,,,,,
14,610,Xi 2-3 màu,6,Lắc,10c742,10c714,,,,800,,,,,
15,610,Xi 2-3 màu,2,Nhẫn,5c46,5c404,,,,120,,,,,
16,610,Xi 2-3 màu,1,Mặt,7p94,7p88,,,,60,,,,,
17,416,Xi 2-3 màu,1,Bông,5p4,5p38,,,,30,,,,,
