STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,24,Dây,35c146,34c988,,,,2310,,,,,
2,416,Xi trắng,4,Vòng,5c344,5c236,,,,320,,,,,
3,416,Xi trắng,19,Lắc,23c128,22c966,,,,1640,,,,,
4,416,Xi trắng,67,Nhẫn,58c68,57c728,,,,2220,-5,-4c43,"gay chau,rot hot",,
5,416,Xi trắng,38,Bông,19c118,18c868,,,,1140,-3,-1c888,"hu hot, gay  chau",,
6,416,Xi trắng,29,Mặt,10c16,10c124,,,,870,,,,,
7,750gram,Xi trắng,11,Dây,13c09,12c912,,,,910,,,,,
8,750gram,Xi trắng,4,Lắc,6c9,6c844,,,,320,,,,,
9,750gram,Xi trắng,19,Nhẫn,22c87,22c586,,,,660,,,,,
10,750gram,Xi trắng,17,Mặt,7c882,7c82,,,,510,,,,,
11,750gram,Xi trắng,36,Bông,21c884,21c71,,,,1080,-1,-4p28,khac loai vang,,
12,750gram,Xi hồng,1,Lắc,1c37,1c364,,,,40,,,,,
13,750gram,Xi hồng,1,Dây,1c796,1c79,,,,60,,,,,
14,750gram,Xi hồng,1,Bông,9p38,9p4,,,,40,,,,,
15,610,Xi 2-3 màu,2,Dây,4c328,4c324,,,,650,,,,,
16,610,Xi 2-3 màu,1,Mặt,4p84,4p82,,,,50,,,,,
17,610,Xi 2-3 màu,4,Lắc,3c82,3c798,,,,600,,,,,
