STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,17,Vòng,30c578,30c236,,,,2080,,,,,
2,416,Xi trắng,113,Nhẫn,110c5,109c02,,,,3225,-5,-3c898,gãy chấu,,
3,416,Xi trắng,22,Lắc,32c372,32c076,,,,1980,-1,-7p88,hư hột,,
4,416,Xi trắng,29,Dây,38c378,38c154,,,,2590,,,,,
5,416,Xi trắng,44,Bông,21c266,21c05,,,,1100,,,,,
6,416,Xi trắng,47,Mặt,20c584,20c434,,,,1175,-2,-2c022,gãy chấu,,
7,750gram,Xi trắng,1,Vòng,3c388,3c356,,,,150,,,,,
8,750gram,Xi trắng,7,Lắc,15c16,15c104,,,,750,,,,,
9,750gram,Xi trắng,17,Nhẫn,27c594,27c39,,,,525,,,,,
10,750gram,Xi trắng,5,Mặt,1c53,1c514,,,,125,,,,,
11,750gram,Xi trắng,25,Bông,15c244,15c178,,,,625,,,,,
12,750gram,Xi trắng,12,Dây,20c688,20c618,,,,960,,,,,
13,750gram,Xi hồng,1,Vòng,3c63,3c626,,,,20,,,,,
14,750gram,Xi hồng,2,Bông,1c17,1c17,,,,20,,,,,
15,750gram,Xi hồng,2,Dây,2c58,2c576,,,,20,,,,,
16,750,Xi trắng,2,Nhẫn cưới xoàn,2c076,2c052,,,,80,,,,,
17,610,Xi 2-3 màu,2,Nhẫn,5c224,5c196,,,,160,,,,,
18,610,Xi 2-3 màu,2,Dây,5c77,5c75,,-3li6,giãn nên cắt,500,,,,,
19,610,Xi 2-3 màu,1,Lắc,2c036,2c036,,,,200,,,,,
