STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,6,Dây,8c116,8c044,,,,,,,,,
2,416,Xi trắng,14,Bông,6c788,6c712,,,,,,,,,
3,416,Xi trắng,9,Mặt,2c818,2c774,,,,,,,,,
4,416,Xi trắng,3,Vòng,6c832,6c778,,,,,,,,,
5,416,Xi trắng,35,Nhẫn,30c224,29c846,,,,,-2.0,-1c864,gãy chấu,,
6,416,Xi trắng,4,Lắc,6c804,6c7,,,,,,,,,
7,750,Xi trắng,3,Vòng,12c874,12c58,,,,,,,,,
8,750gram,Xi trắng,23,Bông,15c012,14c852,,,,,-1.0,-3g18,gãy chấu,,
9,750,Xi trắng,5,Dây,5c996,5c926,,,,,,,,,
10,750,Xi trắng,6,Lắc,14c05,13c904,,,,,,,,,
11,750gram,Xi trắng,10,Nhẫn,10c038,9c924,,,,,-1.0,-3g59,gãy châu,,
12,Ý,Xi trắng,6,Mặt,2c718,2c674,,,,,-1.0,-3g65,gãy chấu,,
13,610,Xi 2-3 màu,1,Dây,3c01,3c008,,,,,,,,,
14,610,Xi 2-3 màu,2,Lắc,2c284,2c256,,,,,,,,,
