STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,610,Xi 2-3 màu,1,Vòng,8c272,8c266,,,,350,,,,,
2,610,Xi 2-3 màu,3,Nhẫn,7c456,7c424,,,,170,,,,,
3,610,Xi 2-3 màu,1,Dây,6c002,5c996,,,,350,,,,,
4,610,Xi 2-3 màu,4,Lắc,30c028,29c942,,,,1050,,,,,
5,610,Xi 2-3 màu,1,Kiềng,7c208,7c174,,,,450,,,,,
6,750,Xi trắng,1,Vòng xoàn,5c308,5c236,,,,200,,,,,
7,Ý,Xi trắng,19,Dây,29c194,29c1,,,,3000,,,,,
8,Ý,Xi trắng,20,Nhẫn,28c194,28c05,,,,1250,,,,,
9,Ý,Xi trắng,12,Mặt,7c458,7c41,,,,550,,,,,
10,Ý,Xi trắng,5,Lắc,13c492,13c446,,,,950,,,,,
11,Ý,Xi trắng,30,Bông,21c162,21c002,,,,1750,,,,,
12,Ý,Xi hồng,2,Bông,2c568,2c564,,,,40,,,,,
13,416,Xi trắng,22,Bông,12c028,11c926,,,,1130,,,,,
14,416,Xi trắng,3,Vòng,5c43,5c36,,,,490,,,,,
15,416,Xi trắng,7,Lắc,6c352,6c312,,,,800,,,,,
16,416,Xi trắng,13,Mặt,7c008,6c97,,,,580,,,,,
17,416,Xi trắng,21,Nhẫn,22c164,21c966,,,,1220,,,,,
18,416,Xi trắng,12,Dây,18c124,18c1,,,,2160,,,,,
