STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,17,Vòng,31c246,30c904,,,,2570,,,,,
2,416,Xi trắng,60,Mặt,19c118,18c982,,,,2110,,,,,
3,416,Xi trắng,58,Bông,27c068,26c906,,,,2820,,,,,
4,416,Xi trắng,96,Nhẫn,78c994,78c28,,,,5220,-1,-2c966,hư chấu,,
5,416,Xi trắng,30,Lắc,30c274,30c154,,,,3600,-1,-1c212,múc máy bén,,
6,416,Xi trắng,48,Dây,52c782,52c57,,-1p06,thay khóa,7210,,,,+8li6,thay khóa
