STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,750gram,Xi trắng,13,Nhẫn,17c848,17c608,,,,325,-1,-2c33,rớt hột,,
2,750gram,Xi trắng,6,Mặt,3c588,3c584,,,,150,,,,,
3,750gram,Xi trắng,21,Bông,12c91,12c806,,,,525,,,,,
4,750gram,Xi trắng,6,Dây,11c412,11c362,,,,500,,,,,
5,750gram,Xi trắng,3,Vòng,13c216,13c16,,,,440,,,,,
6,750gram,Xi trắng,2,Lắc,3c444,3c424,,,,160,,,,,
7,416,Xi trắng,24,Nhẫn,23c712,23c426,,,,600,-3,-3c248,gãy chấu,,
8,416,Xi trắng,5,Dây,7c766,7c694,,,,390,,,,,
9,416,Xi trắng,2,Vòng,2c502,2c464,,,,180,,,,,
10,416,Xi trắng,20,Mặt,8c942,8c882,,,,500,,,,,
11,416,Xi trắng,9,Lắc,13c86,13c788,,,,800,-1,-5p76,hư hột,,
12,416,Xi trắng,19,Bông,8c638,8c546,,,,475,,,,,
13,610,Xi 2-3 màu,3,Dây,7c964,7c926,,,,450,,,,,
14,610,Xi 2-3 màu,3,Lắc,4c966,4c904,,,,300,,,,,
15,610,Xi 2-3 màu,1,Mặt,1c534,1c524,,,,60,,,,,
16,610,Xi 2-3 màu,1,Nhẫn,3c156,3c118,,,,50,,,,,
