STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,750gram,Xi trắng,2,Vòng,4c494,4c43,,,,300,,,,,
2,750gram,Xi trắng,15,Nhẫn,18c16,17c958,,,,425,,,,,
3,750gram,Xi trắng,11,Lắc,28c044,27c93,,,,1090,,,,,
4,750gram,Xi trắng,32,Dây,41c12,40c756,,,,2460,,,,,
5,750gram,Xi trắng,33,Bông,21c14,20c976,,,,825,,,,,
6,750gram,Xi trắng,16,Mặt,7c4,7c354,,,,400,,,,,
7,416,Xi trắng,22,Vòng,39c726,39c214,,,,2450,,,,,
8,416,Xi trắng,29,Lắc,35c31,34c926,,,,2460,-1.0,-5p84,hot hu,,
9,416,Xi trắng,24,Dây,43c052,42c764,,,,2670,,,,,
10,416,Xi trắng,87,Nhẫn,76c966,75c926,,,,2400,,,,,
11,416,Xi trắng,24,Mặt,8c038,8c002,,,,600,,,,,
12,416,Xi trắng,58,Bông,23c7,23c49,,-7li2,thay dit bong,1450,,,,+5li6,thay dit bong
13,610,Xi 2-3 màu,4,Dây,15c98,15c962,,,,1500,,,,,
14,610,Xi 2-3 màu,5,Lắc,5c16,5c134,,,,700,,,,,
