STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,66,Nhẫn,56c058,54c884,,,,2160,-3,-2c768,"gãy chấu,rớt hột",,
2,416,Xi trắng,35,Dây,67c818,67c356,,,,4270,,,,,
3,416,Xi trắng,11,Vòng,19c504,19c21,,,,1280,,,,,
4,416,Xi trắng,55,Bông,26c118,25c8,,,,1650,-1,-7p9,rớt hột,,
5,416,Xi trắng,29,Mặt,11c968,11c91,,,,870,,,,,
6,416,Xi trắng,23,Lắc,27c198,26c84,,,,2300,,,,,
7,750gram,Xi trắng,21,Dây,34c882,34c46,,,,2110,,,,,
8,750gram,Xi trắng,4,Lắc,7c63,7c442,,,,410,,,,,
9,750gram,Xi trắng,1,Vòng,3c868,3c814,,,,160,,,,,
10,750gram,Xi trắng,9,Nhẫn,7c812,7c69,,,,270,,,,,
11,750gram,Xi trắng,11,Mặt,4c874,4c806,,,,330,,,,,
12,750gram,Xi trắng,24,Bông,14c276,14c106,,,,720,,,,,
13,610,Xi 2-3 màu,5,Dây,13c924,13c856,,-6zem,rẻo cắt,1300,,,,,
14,610,Xi 2-3 màu,2,Lắc,3c302,3c286,,,,450,,,,,
15,750,Xi trắng,2,Nhẫn cưới xoàn,1c28,1c266,,,,120,,,,,
