STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,Ý,Xi trắng,17,Nhẫn,16c638,16c386,,,,425,,,,,
2,Ý,Xi trắng,15,Bông,10c32,10c198,,,,375,,,,,
3,Ý,Xi trắng,1,Vòng,3c768,3c678,,,,150,,,,,
4,Ý,Xi trắng,12,Mặt,6c154,6c094,,,,300,,,,,
5,Ý,Xi trắng,10,Lắc,15c464,15c284,,,,880,-1,-1c134,gãy chấu,,
6,Ý,Xi trắng,21,Dây,59c878,59c026,,,,2120,,-3li,dây giãn,2p66-1p12,thay khóa
7,416,Xi trắng,41,Nhẫn,33c094,32c664,,,,1025,-1,-7p92,gãy,,
8,416,Xi trắng,2,Vòng,3c306,3c246,,,,200,,,,,
9,416,Xi trắng,14,Lắc,20c872,20c7,,,,1260,,-1li8,lắc giãn ,,
10,416,Xi trắng,14,Mặt,6c542,6c49,,,,350,,,,,
11,416,Xi trắng,17,Dây,28c332,28c146,,,,1700,,,,,
12,416,Xi trắng,25,Bông,14c512,14c314,,,,625,-2,-1c,gãy chấu,,
13,750,Xi trắng,4,Nhẫn cưới xoàn,2c962,2c912,,,,100,,,,,
