STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,Ý,Xi trắng,21,Dây,49c782,49c626,,,,,,,,,
2,Ý,Xi trắng,6,Mặt,2c908,2c896,,,,,,,,,
3,Ý,Xi trắng,5,Lắc,6c714,6c688,,,,,,,,,
4,Ý,Xi trắng,21,Nhẫn,26c444,26c248,,,,,,,,,
5,Ý,Xi trắng,4,Vòng,12c878,12c794,,,,,,,,,
6,Ý,Xi trắng,35,Bông,22c138,21c962,,,,,,,,,
7,416,Xi trắng,2,Vòng,6c48,6c43,,,,,,,,,
8,416,Xi trắng,7,Lắc,7c164,7c146,,,,,,,,,
9,416,Xi trắng,13,Mặt,5c916,5c906,,,,,,,,,
10,416,Xi trắng,23,Nhẫn,25c352,24c946,,,,,-1,-4p44,mặt lủng,,
11,416,Xi trắng,11,Dây,16c972,16c92,,,,,,,,,
12,416,Xi trắng,29,Bông,16c038,15c948,,,,,,,,,
13,750,Xi trắng,3,Nhẫn,2c688,2c63,,,,,,,,,
14,610,Xi 2-3 màu,1,Vòng,1c18,1c176,,,,,,,,,
15,610,Xi 2-3 màu,2,Nhẫn,2c098,2c09,,,,,,,,,
16,610,Xi 2-3 màu,3,Lắc,7c624,7c584,,,,,,,,,
17,610,Xi 2-3 màu,2,Dây,3c614,3c61,,,,,,,,,
