STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,Ý,Xi trắng,14,Dây,23c414,23c322,,,,,-1,-3g28,,,
2,Ý,Xi trắng,2,Vòng,7c188,7c15,,,,,,,,,
3,Ý,Xi trắng,7,Lắc,17c156,17c03,,,,,,,,,
4,Ý,Xi trắng,14,Mặt,8c432,8c404,,,,,-2,-2g48,hư,,
5,Ý,Xi trắng,32,Bông,20c158,19c974,-1,-5p98,BT lộn qua BY,,,,,,
6,Ý,Xi trắng,21,Nhẫn,25c662,25c466,,,,,-3,-13g99,"thấp tuổi, bể hột",,
7,416,Xi trắng,14,Dây,17c358,17c23,,,,,,,,,
8,416,Xi trắng,47,Nhẫn,45c842,44c74,,,,,,,,,
9,416,Xi trắng,17,Mặt,7c018,6c958,,,,,,,,,
10,416,Xi trắng,27,Bông,15c272,15c146,+1,+5p98,BT lộn qua BY,,-1,-5p48,gãy chấu,,
11,416,Xi trắng,3,Vòng,9c29,9c176,,,,,,,,,
12,416,Xi trắng,6,Lắc,9c74,9c688,,,,,,,,,
13,610,Xi 2-3 màu,3,Mặt,5c924,5c894,,,,,,,,,
14,610,Xi 2-3 màu,1,Nhẫn,2c648,2c608,,,,,,,,,
15,610,Xi 2-3 màu,4,Dây,13c736,13c676,,,,,,,,,
