STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,750gram,Xi trắng,11,Dây,19c454,19c304,,,,910,,,,,
2,750gram,Xi trắng,9,Lắc,18c14,18c018,,,,820,,,,,
3,750gram,Xi trắng,1,Vòng,3c878,3c84,,,,150,,,,,
4,750gram,Xi trắng,4,Mặt,2c704,2c676,,,,100,,,,,
5,750gram,Xi trắng,8,Nhẫn,9c84,9c788,,,,225,,,,,
6,750gram,Xi trắng,14,Bông,7c682,7c63,,,,350,-1,-5p88,rớt hột,,
7,750,Xi trắng,2,Nhẫn,1c828,1c782,,,,100,,,,,
8,416,Xi trắng,14,Dây,3c1376,30c994,,,,1530,-1,-3c862,múc máy mờ,,
9,416,Xi trắng,7,Lắc,5c26,5c186,,,,490,,,,,
10,416,Xi trắng,2,Vòng,3c606,3c532,,,,220,,,,,
11,416,Xi trắng,14,Bông,5c462,5c356,,,,350,-2,-6p76,"bể hột, đen",,
12,416,Xi trắng,29,Nhẫn,29c146,28c632,,,,850,-1,-1c094,gãy chấu,,
13,416,Xi trắng,15,Mặt,5c688,5c674,,,,375,,,,,
14,610,Xi 2-3 màu,1,Nhẫn,4c11,4c066,,,,50,,,,,
15,610,Xi 2-3 màu,1,Dây,1c648,1c6,,,,110,,,,,
16,610,Xi 2-3 màu,2,Lắc,3c182,3c112,,,,220,,,,,
