STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,750gram,Xi trắng,3,Vòng,13c836,13c686,,,,450,,,,,
2,750gram,Xi trắng,9,Nhẫn,11c718,11c59,,,,225,-1,-8p68,đo ra 61,,
3,750gram,Xi trắng,9,Mặt,4c278,4c25,,,,225,,,,,
4,750gram,Xi trắng,17,Bông,9c844,9c778,,,,425,-1,-5p46,gãy,,
5,750gram,Xi trắng,9,Dây,10c682,10c606,,,,620,,,,,
6,750gram,Xi trắng,2,Lắc,2c776,2c754,,,,150,,,,,
7,416,Xi trắng,10,Vòng,15c12,14c88,,,,1050,,,,,
8,416,Xi trắng,50,Nhẫn,46c142,45c51,,,,1350,-4,-3c3,gãy chấu,,
9,416,Xi trắng,13,Mặt,5c4,5c362,,,,325,,,,,
10,416,Xi trắng,30,Bông,13c888,13c72,,,,750,,,,,
11,416,Xi trắng,12,Lắc,11c928,11c818,,,,880,,,,,
12,416,Xi trắng,12,Dây,19c002,18c912,,,,1150,,,,,
13,610,Xi 2-3 màu,1,Lắc,1c324,1c316,,,,200,,,,,
14,610,Xi 2-3 màu,1,Vòng,1c242,1c242,,,,150,,,,,
15,610,Xi 2-3 màu,1,Nhẫn,7p7,7p66,,,,50,,,,,
