STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,Ý,Xi trắng,7,Dây,7c15,7c122,,,,440,,,,,
2,Ý,Xi trắng,6,Mặt,2c172,2c16,,,,120,-1,-1g25,khoen mặt lủng,,
3,Ý,Xi trắng,2,Lắc,2c62,2c61,,,,160,,,,,
4,Ý,Xi trắng,16,Nhẫn,16c492,16c346,,,,375,,,,,
5,Ý,Xi trắng,19,Bông,13c098,13c06,,,,475,,,,,
6,416,Xi trắng,7,Dây,8c436,8c382,,,,540,,,,,
7,416,Xi trắng,9,Mặt,3c388,3c33,,,,225,,,,,
8,416,Xi trắng,5,Lắc,6c446,6c406,,,,420,,,,,
9,416,Xi trắng,18,Nhẫn,18c894,18c7,,,,525,-2,-2c202,"đen, rớt hột",,
10,416,Xi trắng,14,Bông,7c532,7c47,,,,350,,,,,
11,416,Xi trắng,3,Vòng,5c368,5c27,,,,300,,,,,
12,610,Xi 2-3 màu,3,Dây,11c994,11c986,,,,1100,,,,,
13,610,Xi 2-3 màu,2,Nhẫn,1c422,1c418,,,,100,,,,,
14,Ý,Xi 2-3 màu,1,Nhẫn,1c068,1c054,,,,110,,,,,
