STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,8,Vòng,16c76,16c692,,,,1120,-1,-3c176,bể hột,,
2,416,Xi trắng,21,Lắc,23c478,23c372,,,,2650,,,,,
3,416,Xi trắng,31,Dây,40c29,40c226,,,,4500,,,,,
4,416,Xi trắng,85,Nhẫn,74c666,74c064,,,,4750,-1,-1c334,rớt hột barget,,
5,416,Xi trắng,62,Bông,27c284,27c204,,-1p64,thay đít bông,2920,,,,+1p4,thay đt bông
6,416,Xi trắng,30,Mặt,8c486,8c452,,,,850,-1,-2p66,gãy,,
