STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,13,Dây,20c228,19c924,,,,1140,,,,,
2,416,Xi trắng,3,Vòng,4c888,4c764,,,,300,,,,,
3,416,Xi trắng,12,Lắc,10c25,9c958,,,,870,-2,-9p32,"rớt hột, thiếu tòn ten",,
4,416,Xi trắng,59,Nhẫn,59c06,57c984,,,,1650,-2,-2c796,hư chấu,,
5,416,Xi trắng,38,Bông,18c985,18c724,,,,950,,,,,
6,416,Xi trắng,30,Mặt,11c034,10c904,,,,750,,,,,
7,750gram,Xi trắng,18,Dây,25c29,25c1,,,,1570,-1,-8p54,gãy,,
8,750gram,Xi trắng,8,Vòng,30c158,29c618,,,,1050,,,,,
9,750gram,Xi trắng,5,Lắc,6c324,6c254,,,,390,,,,,
10,750gram,Xi trắng,20,Nhẫn,20c876,20c57,,,,500,,,,,
11,750gram,Xi trắng,24,Bông,14c302,14c15,,,,600,,,,,
12,750gram,Xi trắng,20,Mặt,10c788,10c712,,,,500,,,,,
13,610,Xi 2-3 màu,3,Dây,10c852,10c814,,,,850,,,,,
14,610,Xi 2-3 màu,1,Bông,5p94,5p84,,,,50,,,,,
