STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,16,Dây,17c96,17c766,,,,1380,,,,,
2,416,Xi trắng,11,Lắc,12c52,12c448,,,,990,,,,,
3,416,Xi trắng,74,Nhẫn,65c162,63c932,,,,2400,-1,-8p72,gãy chấu,,
4,416,Xi trắng,11,Vòng,24c29,24c04,,,,1400,,,,,
5,416,Xi trắng,36,Bông,16c202,15c942,,,,1080,-4,-1c802,"gãy chấu,mờ vết múc",,
6,416,Xi trắng,34,Mặt,10c006,9c886,,,,1020,,,,,
7,750gram,Xi trắng,9,Dây,10c434,10c34,,,,730,,,,,
8,750gram,Xi trắng,23,Nhẫn,31c722,31c434,,,,750,,,,,
9,750gram,Xi trắng,1,Vòng,2c76,2c734,,,,150,,,,,
10,750gram,Xi trắng,7,Lắc,15c584,15c5,,,,680,,,,,
11,750gram,Xi trắng,20,Bông,12c632,12c56,,,,600,-1,-4p32,mờ vết múc,,
12,750gram,Xi trắng,9,Mặt,3c584,3c558,,,,270,,,,,
13,750,Xi hồng,2,Nhẫn cưới xoàn,1c92,1c906,,,,20,,,,,
14,610,Xi 2-3 màu,1,Dây,2c698,2c694,,,,10,,,,,
