STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,610,Xi 2-3 màu,8,Dây,25c614,25c532,,,,,,,,,
2,610,Xi 2-3 màu,12,Lắc,17c33,17c268,,,,,,,,,
3,610,Xi 2-3 màu,6,Bông,3c868,3c852,,,,,-2,-1c326,xi lại,,
4,610,Xi 2-3 màu,3,Mặt,2c47,2c468,,,,,,,,,
5,610,Xi 2-3 màu,6,Nhẫn,12c674,12c596,,,,,,,,,
6,610,Xi 2-3 màu,1,Vòng,6c486,6c486,,,,,,,,,
7,610,Xi trắng,1,Dây,2c532,2c492,,,,,,,,,
8,Ý,Xi trắng,27,Dây,42c716,42c578,,,,,,,,,
9,Ý,Xi trắng,41,Nhẫn,53c982,53c48,,,,,-6,-31g65,,,
10,Ý,Xi trắng,27,Mặt,14c312,14c236,,,,,-1,-1g76,,,
11,Ý,Xi trắng,1,Vòng,2c142,2c114,,,,,,,,,
12,Ý,Xi trắng,13,Lắc,41c172,41c032,,,,,-1,-6g59,đã duyệt,,
13,Ý,Xi trắng,51,Bông,33c034,32c78,,,,,,,,,
14,Ý,Xi 2-3 màu,2,Lắc,3c898,3c842,,,,,-1,-10g41,khóa đen,,
15,Ý,Xi 2-3 màu,1,Nhẫn,1c118,1c108,,,,,-1,-4g15,tróc xi hồng,,
16,Ý,Xi hồng,1,Lắc,1c116,1c11,,,,,,,,,
17,Ý,Xi hồng,1,Nhẫn,5p86,5p82,,,,,,,,,
18,416,Xi trắng,36,Mặt,14c45,14c428,,,,,,,,,
19,416,Xi trắng,60,Nhẫn,57c344,56c62,,,,,-5,-4c688,"rớt hột, hư chấu",,
20,416,Xi trắng,32,Dây,44c856,44c698,,,,,-1,-1c012,xi lại,,
21,416,Xi trắng,5,Vòng,8c87,8c814,,,,,,,,,
22,416,Xi trắng,14,Lắc,19c912,19c698,,,,,,,,,
23,416,Xi trắng,52,Bông,24c478,24c282,,,,,-2,-9p98,"rớt hột, hư chấu",,
