STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,5,Vòng,10c34,10c204,,,,600,,,,,
2,416,Xi trắng,26,Nhẫn,21c684,21c3,,,,675,,,,,
3,416,Xi trắng,17,Lắc,23c67,23c474,,,,1470,,,,,
4,416,Xi trắng,18,Dây,42c112,41c916,,,,2180,-1,-3c862,nứt vàng,,
5,416,Xi trắng,19,Bông,8c776,8c712,,,,475,-1,-5p22,gãy chấu,,
6,416,Xi trắng,13,Mặt,4c794,4c752,,,,325,,,,,
7,750gram,Xi trắng,3,Lắc,5c776,5c732,,,,270,,,,,
8,750gram,Xi trắng,11,Nhẫn,9c304,9c23,,,,275,,,,,
9,750gram,Xi trắng,6,Mặt,2c268,2c258,,,,150,,,,,
10,750gram,Xi trắng,14,Bông,7c734,7c652,,,,350,-2,-8p6,mờ múc máy,,
11,750gram,Xi trắng,11,Dây,20c676,20c608,,,,1110,,,,,
12,610,Xi 2-3 màu,1,Dây,3c224,3c204,,,,200,,,,,
13,610,Xi 2-3 màu,1,Lắc,1c056,1c044,,,,200,,,,,
