STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,610,Xi 2-3 màu,2,Mặt,2c,1c994,,,,100,,,,,
2,610,Xi 2-3 màu,1,Dây,1c81,1c786,,,,370,,,,,
3,610,Xi 2-3 màu,2,Lắc,3c57,3c56,,,,300,,,,,
4,610,Xi hồng,2,Nhẫn cưới xoàn,2c576,2c562,,,,40,,,,,
5,416,Xi trắng,47,Bông,22c564,22c342,,,,1175,-2,-6p66,gãy chấu,,
6,416,Xi trắng,27,Mặt,10c65,10c544,,,,675,,,,,
7,416,Xi trắng,8,Dây,13c282,13c238,,,,830,,,,,
8,416,Xi trắng,64,Nhẫn,64c708,63c35,,,,1775,-2,-1c714,"gãy chấu, lũng",,
9,416,Xi trắng,10,Vòng,16c13,16c002,,,,1000,,,,,
10,416,Xi trắng,10,Lắc,10c766,10c584,,,,740,,,,,
11,750gram,Xi trắng,12,Dây,18c186,18c022,,,,900,,,,,
12,750gram,Xi trắng,2,Vòng,9c506,9c386,,,,300,-1,-5c6,rớt mặt hoa 4 cánh,,
13,750gram,Xi trắng,5,Lắc,8c798,8c844,,,,450,,,,,
14,750gram,Xi trắng,18,Nhẫn,18c608,18c512,,,,450,-2,-1c118,"gãy chấu,hư hột",,
15,750gram,Xi trắng,23,Bông,13c576,13c534,,,,575,,,,,
16,750gram,Xi trắng,10,Mặt,5c936,5c936,,,,250,,,,,
