STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,43,Nhẫn,32c46,31c906,,,,,-2.0,-2c35,"hột mờ, rớt hột",,
2,416,Xi trắng,12,Mặt,4c344,4c308,,,,,,,,,
3,416,Xi trắng,7,Lắc,6c268,6c156,,,,,,,,,
4,416,Xi trắng,1,Vòng,4c13,4c408,,,,,,,,,
5,416,Xi trắng,21,Bông,11c174,11c094,1.0,+ 5p74,BT lộn qua BY,,-2.0,-1c534,"đen, gãy chấu",,
6,416,Xi trắng,10,Dây,16c712,16c022,,,,,,,,,
7,Ý,Xi trắng,16,Nhẫn,21c694,21c498,,,,,,,,,
8,Ý,Xi trắng,27,Bông,15c686,15c582,-1.0,- 5p74,BT lộn qua BY,,,,,,
9,Ý,Xi trắng,22,Mặt,10c536,10c53,,,,,-1.0,-2p3,,,
10,Ý,Xi trắng,3,Lắc,5c046,5c012,,,,,,,,,
11,Ý,Xi trắng,15,Dây,40c54,40c328,,,,,,-0li8,dây giãn,,
