STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,9,Vòng,16c8,16c546,,,,1290,,,,,
2,416,Xi trắng,28,Dây,35c114,34c994,,-1p26,thay khóa,2730,,,,+1p46,thay khóa
3,416,Xi trắng,30,Lắc,41c422,41c008,,,,3390,-1,-3c974,gãy chấu,,
4,416,Xi trắng,98,Nhẫn,81c142,79c726,,,,3815,-1,-8p6,rớt hột baget,,
5,416,Xi trắng,70,Bông,31c708,31c248,,,,2450,,,,,
6,416,Xi trắng,58,Mặt,19c296,19c06,,,,1740,,,,,
7,750gram,Xi trắng,31,Dây,59c796,59c48,,-9li4,thay khóa,3350,,,,+3p3,thay khóa
8,750gram,Xi trắng,7,Lắc,13c898,13c778,,,,840,,,,,
9,750gram,Xi trắng,2,Vòng,4c772,4c71,,,,300,,,,,
10,750gram,Xi trắng,14,Mặt,6c476,6c412,,,,490,,,,,
11,750gram,Xi trắng,23,Nhẫn,30c864,30c322,,,,805,-1,-1c95,gãy chấu,,
12,750gram,Xi trắng,28,Bông,16c974,16c802,,,,980,-2,-1c394,gãy chấu,,
