STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,Ý,Xi trắng,10,Mặt,5c282,5c248,420,,,,,,,,
2,Ý,Xi trắng,3,Lắc,10c852,10c816,630,,,,,,,,
3,Ý,Xi trắng,10,Dây,23c042,22c978,1950,,,,,,,,
4,Ý,Xi trắng,2,Vòng,9c338,9c248,410,,,,,,,,
5,Ý,Xi trắng,12,Bông,6c682,6c632,550,,,,,,,,
6,Ý,Xi trắng,18,Nhẫn,24c5,24c278,1100,,,,,,,,
7,416,Xi trắng,13,Dây,14c422,14c316,1780,,,,,,,,
8,416,Xi trắng,28,Nhẫn,20c574,20c414,1450,,,,,,,,
9,416,Xi trắng,11,Mặt,4c218,4c18,410,,,,,,,,
10,416,Xi trắng,3,Lắc,3c138,3c13,400,,,,,,,,
11,416,Xi trắng,21,Bông,9c32,9c222,1000,,,,,,,,
12,610,Xi trắng,5,Dây,29c998,29c896,2350,,,,,,,,
13,610,Xi 2-3 màu,5,Lắc,18c344,18c302,880,,,,,,,,
14,610,Xi 2-3 màu,4,Dây,15c134,15c118,1500,,,,,,,,
15,610,Xi 2-3 màu,1,Bông,5p06,5p06,60,,,,,,,,
16,610,Xi 2-3 màu,1,Mặt,1c39,1c386,80,,,,,,,,
