STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,750gram,Xi trắng,10,Dây,14c126,13c986,,,,780,,,,,
2,750gram,Xi trắng,2,Lắc,4c95,4c886,,,,230,,,,,
3,750gram,Xi trắng,1,Vòng,3c014,2c988,,,,120,,,,,
4,750gram,Xi trắng,8,Mặt,5c184,5c106,,,,200,,,,,
5,750gram,Xi trắng,13,Nhẫn,13c472,13c086,,,,325,-1.0,-1g87,gãy chấu,,
6,750gram,Xi trắng,14,Bông,9c594,9c434,,,,350,,,,,
7,416,Xi trắng,17,Dây,17c73,17c68,,,,1330,,,,,
8,416,Xi trắng,32,Nhẫn,27c551,27c158,,,,800,,,,,
9,416,Xi trắng,16,Mặt,5c454,5c432,,,,400,-1.0,-3p44,"mẻ hột, ố",,
10,416,Xi trắng,7,Lắc,7c174,7c138,,,,560,-1.0,-7p14,đứt,,
11,416,Xi trắng,21,Bông,9c866,9c83,,,,525,,,,,
12,610,Xi 2-3 màu,1,Lắc,1c522,1c514,,,,150,,,,,
13,610,Xi 2-3 màu,1,Bông,4p08,4p02,,,,40,,,,,
