STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,12,Dây,17c23,17c02,,,,940,,,,,
2,416,Xi trắng,10,Lắc,10c624,10c536,,,,540,-1.0,-1c202,đứt,,
3,416,Xi trắng,15,Mặt,6c514,6c462,,,,375,,,,,
4,416,Xi trắng,15,Bông,5c384,5c318,,,,300,,,,,
5,416,Xi trắng,26,Nhẫn,25c572,25c26,,,,725,-1.0,-7p02,gãy chấu,,
6,750gram,Xi trắng,12,Nhẫn,15c666,15c446,,,,325,-1.0,-1c396,gãy chấu,,
7,750gram,Xi trắng,21,Bông,12c458,12c422,,,,525,,,,,
8,750gram,Xi trắng,10,Mặt,2c352,2c338,,,,160,,-4li2,khoen mặt  hư,,
9,750gram,Xi trắng,3,Lắc,5c924,5c898,,,,240,,,,,
10,750gram,Xi trắng,8,Dây,11c532,11c512,,,,620,,,,,
11,750gram,Xi hồng,1,Nhẫn,1c534,1c516,,,,20,,,,,
12,610,Xi 2-3 màu,1,Vòng,1c428,1c422,,,,150,,,,,
13,610,Xi 2-3 màu,2,Lắc,2c236,2c224,,,,300,,,,,
14,610,Xi 2-3 màu,1,Dây,4c344,4c342,,,,500,,,,,
