STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,750gram,Xi trắng,19,Dây,43c148,42c726,,,,1640,,,,,
2,750gram,Xi trắng,1,Kiềng,3c652,3c636,,,,150,,,,,
3,750gram,Xi trắng,10,Nhẫn,12c926,12c702,,,,300,,,,,
4,750gram,Xi trắng,5,Lắc,7c76,7c682,,,,400,,,,,
5,750gram,Xi trắng,16,Bông,10c67,10c544,,,,400,,,,,
6,750gram,Xi trắng,12,Mặt,6c852,6c766,,,,300,,,,,
7,750gram,Xi trắng,1,Vòng,1c188,1c168,,,,80,,,,,
8,416,Xi trắng,17,Dây,32c99,32c64,,,,1920,,,,,
9,416,Xi trắng,6,Vòng,15c436,15c326,,,,750,,,,,
10,416,Xi trắng,14,Lắc,17c346,17c31,,,,1060,,,,,
11,416,Xi trắng,19,Bông,10c832,10c708,,,,475,-1,-5p02,gay chau,,
12,416,Xi trắng,15,Mặt,8c92,8c982,,,,375,,,,,
13,416,Xi trắng,43,Nhẫn,34c884,34c226,,,,1175,,,,,
14,610,Xi 2-3 màu,3,Lắc,3c104,3c094,,,,400,,,,,
15,610,Xi 2-3 màu,6,Dây,15c738,15c67,,,,1800,,,,,
