STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,416,Xi trắng,23,Dây,34c588,34c412,,,,2460,,,,,
2,416,Xi trắng,8,Vòng,18c548,18c162,,,,1050,,,,,
3,416,Xi trắng,17,Lắc,22c008,21c818,,-3li6,thay khóa,1560,,,,+3li,thay khóa
4,416,Xi trắng,44,Bông,20c11,19c904,,,,1320,-1,-3p78,"mờ múc máy,gãy",,
5,416,Xi trắng,29,Mặt,10c292,10c2,,,,870,-2,-5p2,gãy,,
6,416,Xi trắng,70,Nhẫn,66c212,65c196,,,,2260,-2,-9p7,hư chấu,,
7,750gram,Xi trắng,1,Vòng,2c246,2c206,,,,130,,,,,
8,750gram,Xi trắng,13,Nhẫn,21c362,21c226,,,,490,-1,-1c082,rớt hột,,
9,750gram,Xi trắng,5,Mặt,1c578,1c572,,,,125,,,,,
10,750gram,Xi trắng,17,Bông,9c79,9c768,,,,510,,,,,
11,750gram,Xi trắng,2,Lắc,2c116,2c108,,,,160,,,,,
12,750gram,Xi trắng,9,Dây,23c8,23c694,,-1p28,thay khóa,1040,,,,+2p68,thay khóa
13,750,Xi trắng,1,Nhẫn xoàn,6p74,6p64,,,,50,-1,-6p64,chết hột,,
14,750,Xi trắng,2,Nhẫn cưới xoàn,1c726,1c712,,,,20,,,,,
15,610,Xi 2-3 màu,2,Lắc,1c942,1c938,,,,320,,,,,
16,610,Xi 2-3 màu,1,Kiềng,5c354,5c352,,,,350,,,,,
17,610,Xi 2-3 màu,1,Nhẫn,2c704,2c684,,,,80,,,,,
